survey,question_concept_id,question,answer_concept_id,answer,answer_numeric,answer_text
Healthcare Access & Utilization,43528660,Health Advice: Spoken To General Doctor,903087,PMI: Dont Know,-99, Dont Know
Healthcare Access & Utilization,43528660,Health Advice: Spoken To General Doctor,903096,PMI: Skip,-98, Skip
Healthcare Access & Utilization,43528660,Health Advice: Spoken To General Doctor,43529549,Spoken To General Doctor: No,2, No
Healthcare Access & Utilization,43528660,Health Advice: Spoken To General Doctor,43530243,Spoken To General Doctor: Yes,1, Yes
Healthcare Access & Utilization,43528661,Health Advice: Spoken To Medical Specialist,903087,PMI: Dont Know,-99, Dont Know
Healthcare Access & Utilization,43528661,Health Advice: Spoken To Medical Specialist,903096,PMI: Skip,-98, Skip
Healthcare Access & Utilization,43528661,Health Advice: Spoken To Medical Specialist,43529550,Spoken To Medical Specialist: No,2, No
Healthcare Access & Utilization,43528661,Health Advice: Spoken To Medical Specialist,43530244,Spoken To Medical Specialist: Yes,1, Yes
Healthcare Access & Utilization,43528662,Can't Afford Care: Dental Care,903087,PMI: Dont Know,-99, Dont Know
Healthcare Access & Utilization,43528662,Can't Afford Care: Dental Care,903096,PMI: Skip,-98, Skip
Healthcare Access & Utilization,43528662,Can't Afford Care: Dental Care,43529335,Can't Afford Dental Care: No,2, No
Healthcare Access & Utilization,43528662,Can't Afford Care: Dental Care,43530028,Can't Afford Dental Care: Yes,1, Yes
Healthcare Access & Utilization,43528663,Can't Afford Care: Emergency Care,903087,PMI: Dont Know,-99, Dont Know
Healthcare Access & Utilization,43528663,Can't Afford Care: Emergency Care,903096,PMI: Skip,-98, Skip
Healthcare Access & Utilization,43528663,Can't Afford Care: Emergency Care,43529341,Can't Afford Emergency Care: No,2, No
Healthcare Access & Utilization,43528663,Can't Afford Care: Emergency Care,43530034,Can't Afford Emergency Care: Yes,1, Yes
Healthcare Access & Utilization,43528664,Can't Afford Care: Healthcare Provider,903087,PMI: Dont Know,-99, Dont Know
Healthcare Access & Utilization,43528664,Can't Afford Care: Healthcare Provider,903096,PMI: Skip,-98, Skip
Healthcare Access & Utilization,43528664,Can't Afford Care: Healthcare Provider,43529361,Can't Afford Healthcare Provider: No,0, No
Healthcare Access & Utilization,43528664,Can't Afford Care: Healthcare Provider,43530054,Can't Afford Healthcare Provider: Yes,1, Yes
Healthcare Access & Utilization,43528665,Can't Afford Care: Bought Rx From Other Country,903087,PMI: Dont Know,-99, Dont Know
Healthcare Access & Utilization,43528665,Can't Afford Care: Bought Rx From Other Country,903096,PMI: Skip,-98, Skip
Healthcare Access & Utilization,43528665,Can't Afford Care: Bought Rx From Other Country,43529313,Bought Rx From Other Country: No,2, No
Healthcare Access & Utilization,43528665,Can't Afford Care: Bought Rx From Other Country,43530007,Bought Rx From Other Country: Yes,1, Yes
Healthcare Access & Utilization,43528666,Can't Afford Care: Alternative Therapies,903087,PMI: Dont Know,-99, Dont Know
Healthcare Access & Utilization,43528666,Can't Afford Care: Alternative Therapies,903096,PMI: Skip,-98, Skip
Healthcare Access & Utilization,43528666,Can't Afford Care: Alternative Therapies,43529300,Alternative Therapies To Save Money: No,2, No
Healthcare Access & Utilization,43528666,Can't Afford Care: Alternative Therapies,43529994,Alternative Therapies To Save Money: Yes,1, Yes
Healthcare Access & Utilization,43529899,Health Provider Race Religion: Delayed Or No Care,903087,PMI: Dont Know,-99, Dont Know
Healthcare Access & Utilization,43529899,Health Provider Race Religion: Delayed Or No Care,903096,PMI: Skip,-98, Skip
Healthcare Access & Utilization,43529899,Health Provider Race Religion: Delayed Or No Care,43529576,Health Provider Race Religion Delayed Or No Care: None Of The Time,1, None Of The Time
Healthcare Access & Utilization,43529899,Health Provider Race Religion: Delayed Or No Care,43529844,Health Provider Race Religion Delayed Or No Care: Some Of The Time,2, Some Of The Time
Healthcare Access & Utilization,43529899,Health Provider Race Religion: Delayed Or No Care,43529239,Health Provider Race Religion Delayed Or No Care: Most Of The Time,3, Most Of The Time
Healthcare Access & Utilization,43529899,Health Provider Race Religion: Delayed Or No Care,43528387,Health Provider Race Religion Delayed Or No Care: Always,4, Always
Healthcare Access & Utilization,43529901,Health Provider Race Religion: How Important,903087,PMI: Dont Know,-99, Dont Know
Healthcare Access & Utilization,43529901,Health Provider Race Religion: How Important,903096,PMI: Skip,-98, Skip
Healthcare Access & Utilization,43529901,Health Provider Race Religion: How Important,43529588,Health Provider Race Religion: Not Important,1, Not Important
Healthcare Access & Utilization,43529901,Health Provider Race Religion: How Important,43529840,Health Provider Race Religion: Slightly Important,2, Slightly Important
Healthcare Access & Utilization,43529901,Health Provider Race Religion: How Important,43529849,Health Provider Race Religion: Somewhat Important,3, Somewhat Important
Healthcare Access & Utilization,43529901,Health Provider Race Religion: How Important,43529953,Health Provider Race Religion: Very Important,4, Very Important
Healthcare Access & Utilization,43529902,Health Provider Race Religion: How Often,903087,PMI: Dont Know,-99, Dont Know
Healthcare Access & Utilization,43529902,Health Provider Race Religion: How Often,903096,PMI: Skip,-98, Skip
Healthcare Access & Utilization,43529902,Health Provider Race Religion: How Often,43529578,Health Provider Race Religion How Often: None Of The Time,1, None Of The Time
Healthcare Access & Utilization,43529902,Health Provider Race Religion: How Often,43529846,Health Provider Race Religion How Often: Some Of The Time,2, Some Of The Time
Healthcare Access & Utilization,43529902,Health Provider Race Religion: How Often,43529241,Health Provider Race Religion How Often: Most Of The Time,3, Most Of The Time
Healthcare Access & Utilization,43529902,Health Provider Race Religion: How Often,43528389,Health Provider Race Religion How Often: Always,4, Always
Healthcare Access & Utilization,43529903,Delayed Medical Care: Child Care,903087,PMI: Dont Know,-99, Dont Know
Healthcare Access & Utilization,43529903,Delayed Medical Care: Child Care,903096,PMI: Skip,-98, Skip
Healthcare Access & Utilization,43529903,Delayed Medical Care: Child Care,43529321,Delayed Care Due to Child Care: No,2, No
Healthcare Access & Utilization,43529903,Delayed Medical Care: Child Care,43530014,Delayed Care Due to Child Care: Yes,1, Yes
Healthcare Access & Utilization,43529904,Delayed Medical Care: Elderly Care,903087,PMI: Dont Know,-99, Dont Know
Healthcare Access & Utilization,43529904,Delayed Medical Care: Elderly Care,903096,PMI: Skip,-98, Skip
Healthcare Access & Utilization,43529904,Delayed Medical Care: Elderly Care,43529340,Delayed Care Due to Elderly Care: No,2, No
Healthcare Access & Utilization,43529904,Delayed Medical Care: Elderly Care,43530033,Delayed Care Due to Elderly Care: Yes,1, Yes
Healthcare Access & Utilization,43529905,Delayed Medical Care: Time Off Work,903087,PMI: Dont Know,-99, Dont Know
Healthcare Access & Utilization,43529905,Delayed Medical Care: Time Off Work,903096,PMI: Skip,-98, Skip
Healthcare Access & Utilization,43529905,Delayed Medical Care: Time Off Work,43529560,Delayed Care Due to Time Off Work: No,2, No
Healthcare Access & Utilization,43529905,Delayed Medical Care: Time Off Work,43530254,Delayed Care Due to Time Off Work: Yes,1, Yes
Healthcare Access & Utilization,43529906,Delayed Medical Care: Transportation,903087,PMI: Dont Know,-99, Dont Know
Healthcare Access & Utilization,43529906,Delayed Medical Care: Transportation,903096,PMI: Skip,-98, Skip
Healthcare Access & Utilization,43529906,Delayed Medical Care: Transportation,43529564,Delayed Care Due to Transportation: No,2, No
Healthcare Access & Utilization,43529906,Delayed Medical Care: Transportation,43530258,Delayed Care Due to Transportation: Yes,1, Yes
Healthcare Access & Utilization,43529973,"Health Advice: Nurse Practitioner, Physician Assistant, or Midwife Visits",903087,PMI: Dont Know,-99, Dont Know
Healthcare Access & Utilization,43529973,"Health Advice: Nurse Practitioner, Physician Assistant, or Midwife Visits",903096,PMI: Skip,-98, Skip
Healthcare Access & Utilization,43529973,"Health Advice: Nurse Practitioner, Physician Assistant, or Midwife Visits",43528263,"Nurse Practitioner, PA, or Midwife Visits: 1",1,1
Healthcare Access & Utilization,43529973,"Health Advice: Nurse Practitioner, Physician Assistant, or Midwife Visits",43528307,"Nurse Practitioner, PA, or Midwife Visits: 2 to 3",2, 2 to 3
