"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"Q2BEE8GU","journalArticle","2008","Limoges, D.; Dieterich, H. A.; Yeh, C.-M.; Vaidyanathan, S.; Howard, D.; Dole, W. P.","A study of dose-proportionality in the pharmacokinetics of the oral direct renin inhibitor aliskiren in healthy subjects.","International journal of clinical pharmacology and therapeutics","","0946-1965","10.5414/cpp46252","","OBJECTIVE: To evaluate the dose-proportionality of the pharmacokinetics of aliskiren, the first in a new class of orally active direct renin inhibitors  approved for the treatment of hypertension. METHODS: This was an open-label,  single-center, single-dose, randomized, 4-period crossover study. Following a  21-day screening period, 32 healthy male or female subjects (ages 18 - 45 years)  were randomized to 1 of 4 aliskiren dosing sequence groups (8 subjects per  group): 75, 150, 300 and 600 mg. Blood samples were obtained for determination of  plasma aliskiren concentrations (HPLC/MS/MS) for 96 h post dose. Log-transformed  pharmacokinetic parameters AUC and C(max) were analyzed to determine  dose-proportionality using the power model, parameter = A*(Dose)(beta), where A =  intercept and beta = dose-proportionality coefficient. The predefined  dose-proportionality criteria over the dose range 75 â 600 mg were 90% confidence  intervals (CI) for beta contained within the range 0.89 - 1.11. RESULTS: AUC and  Cmax values increased with increasing doses of aliskiren. Both AUC and C(max)  were associated with high variability (coefficient of variation 55 - 64% for AUC  and 59 - 117% for C(max)). The estimated proportionality coefficients (beta) for  AUC(0-infiniti), AUC(0-t) and C(max) were 1.18 (90% CI 1.10, 1.25), 1.29 (90% CI  1.22, 1.36) and 1.42 (90% CI 1.31, 1.52), respectively. Dose-proportionality was,  therefore, not demonstrated across the entire 8-fold dose range. For the clinical  dose range of 150 â 300 mg, increases of 2.3- and 2.6-fold were observed for AUC  and C(max), respectively. All doses of aliskiren were well tolerated.  CONCLUSIONS: Exposure to aliskiren was greater than proportional over the dose  range of 75 - 600 mg. Over the therapeutic dose range of 150 â 300 mg approved  for the treatment of hypertension, AUC and Cmax increased by 2.3- and 2.6-fold,  respectively. The pharmacokinetics of aliskiren show relatively high intersubject  variability.","2008-05","2024-04-17 08:25:38","2024-04-17 08:34:47","","252-258","","5","46","","Int J Clin Pharmacol Ther","","","","","","","","eng","","","","","","","Place: Germany PMID: 18538111","","","","Adolescent; Adult; Humans; Male; Female; Middle Aged; Administration, Oral; Dose-Response Relationship, Drug; Area Under Curve; Cross-Over Studies; Mass Spectrometry; Chromatography, High Pressure Liquid; Renin/*antagonists & inhibitors; Antihypertensive Agents/*administration & dosage/adverse effects/*pharmacokinetics; Amides/*administration & dosage/adverse effects/*pharmacokinetics; Fumarates/*administration & dosage/adverse effects/*pharmacokinetics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6YWAF6B8","journalArticle","2013","Tapaninen, Tuija; Karonen, Tiina; Backman, Janne T.; Neuvonen, Pertti J.; Niemi, Mikko","SLCO2B1 c.935G>A single nucleotide polymorphism has no effect on the pharmacokinetics of montelukast and aliskiren.","Pharmacogenetics and genomics","","1744-6880 1744-6872","10.1097/FPC.0b013e32835bac90","","OBJECTIVE: A nonsynonymous single nucleotide polymorphism (SNP) in the SLCO2B1 gene encoding organic anion transporting polypeptide 2B1 (OATP2B1), c.935G>A  (p.R312Q; rs12422149), has been associated with reduced plasma concentrations of  montelukast in patients with asthma. Our aim was to examine the possible effects  of the SLCO2B1 c.935G>A SNP on the single-dose pharmacokinetics of the suggested  OATP2B1 substrates montelukast and aliskiren. METHODS: Sixteen healthy volunteers  with the SLCO2B1 c.935GG genotype, 12 with the c.935GA genotype, and five with  the c.935AA genotype ingested a single 10 mg dose of montelukast or a 150 mg dose  of aliskiren, with a washout period of 1 week. Plasma montelukast concentrations  were measured up to 24 h. Plasma and urine aliskiren concentrations were measured  up to 72 and 12 h, respectively, and plasma renin activity up to 24 h after  aliskiren intake. RESULTS: The SLCO2B1 genotypes had no significant effect on the  pharmacokinetics of montelukast or aliskiren. The geometric mean ratios with 90%  confidence intervals of montelukast area under the plasma concentration-time  curve from 0 h to infinity (AUC(0-∞)) in participants with the c.935GA or the  c.935AA genotype to those with the c.935GG genotype were 1.02 (0.87, 1.21) or  0.88 (0.71, 1.10), respectively (P=0.557). The geometric mean ratios (90%  confidence interval) of aliskiren AUC(0-∞) in participants with the c.935GA or  the c.935AA genotype to those with the c.935GG genotype were 0.98 (0.74, 1.30) or  1.24 (0.85, 1.80), respectively (P=0.576). CONCLUSION: These data do not support  the suggested functional significance of the SLCO2B1 c.935G>A SNP on OATP2B1  activity in vivo.","2013-01","2024-04-17 08:25:38","2024-04-17 08:35:04","","19-24","","1","23","","Pharmacogenet Genomics","","","","","","","","eng","© 2012 Wolters Kluwer Health | Lippincott Williams & Wilkins.","","","","","","Place: United States PMID: 23151832","","","","Adult; Humans; Male; Female; Middle Aged; Chromatography, Liquid; Cross-Over Studies; Young Adult; Tandem Mass Spectrometry; Genotype; Tissue Distribution; Radioimmunoassay; Cyclopropanes; Organic Anion Transporters/*genetics; Polymorphism, Single Nucleotide/*genetics; Sulfides; Antihypertensive Agents/pharmacokinetics/pharmacology; Amides/*pharmacokinetics/pharmacology; Fumarates/*pharmacokinetics/pharmacology; Renin/antagonists & inhibitors/metabolism; Acetates/*pharmacokinetics/pharmacology; Leukotriene Antagonists/pharmacokinetics/pharmacology; Quinolines/*pharmacokinetics/pharmacology","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BEXTA9ND","journalArticle","2007","Waldmeier, Felix; Glaenzel, Ulrike; Wirz, Bernard; Oberer, Lukas; Schmid, Dietmar; Seiberling, Michael; Valencia, Jessica; Riviere, Gilles-Jacques; End, Peter; Vaidyanathan, Sujata","Absorption, distribution, metabolism, and elimination of the direct renin inhibitor aliskiren in healthy volunteers.","Drug metabolism and disposition: the biological fate of chemicals","","0090-9556","10.1124/dmd.106.013797","","Aliskiren (2(S),4(S),5(S),7(S)-N-(2-carbamoyl-2-methylpropyl)-5-amino-4-hydroxy-2,7-diisopropyl-8-[4-methoxy-3-(3-methoxypropoxy)phenyl]-octanamid  hemifumarate) is the first in a new class of orally active, nonpeptide direct  renin inhibitors developed for the treatment of hypertension. The absorption,  distribution, metabolism, and excretion of [(14)C]aliskiren were investigated in  four healthy male subjects after administration of a single 300-mg oral dose in  an aqueous solution. Plasma radioactivity and aliskiren concentration  measurements and complete urine and feces collections were made for 168 h  postdose. Peak plasma levels of aliskiren (C(max)) were achieved between 2 and 5  h postdose. Unchanged aliskiren represented the principal circulating species in  plasma, accounting for 81% of total plasma radioactivity (AUC(0-infinity)), and  indicating very low exposure to metabolites. Terminal half-lives for  radioactivity and aliskiren in plasma were 49 h and 44 h, respectively. Dose  recovery over 168 h was nearly complete (91.5% of dose); excretion occurred  almost completely via the fecal route (90.9%), with only 0.6% recovered in the  urine. Unabsorbed drug accounted for a large dose proportion recovered in feces  in unchanged form. Based on results from this and from previous studies, the  absorbed fraction of aliskiren can be estimated to approximately 5% of dose. The  absorbed dose was partly eliminated unchanged via the hepatobiliary route.  Oxidized metabolites in excreta accounted for at least 1.3% of the radioactive  dose. The major metabolic pathways for aliskiren were O-demethylation at the  phenyl-propoxy side chain or 3-methoxy-propoxy group, with further oxidation to  the carboxylic acid derivative.","2007-08","2024-04-17 08:25:38","2024-04-17 08:35:26","","1418-1428","","8","35","","Drug Metab Dispos","","","","","","","","eng","","","","","","","Place: United States PMID: 17510248","","","","Adult; Humans; Male; Middle Aged; Area Under Curve; Intestinal Absorption; Biotransformation; Tissue Distribution; Molecular Structure; Spectrometry, Mass, Electrospray Ionization; Feces/chemistry; Renin/*antagonists & inhibitors; Urine/chemistry; Amides/blood/*metabolism/*pharmacokinetics; Antihypertensive Agents/metabolism/pharmacokinetics/urine; Fumarates/blood/*metabolism/*pharmacokinetics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"L88VBLSW","journalArticle","2005","Dieterle, W.; Corynen, S.; Vaidyanathan, S.; Mann, J.","Pharmacokinetic interactions of the oral renin inhibitor aliskiren with lovastatin, atenolol, celecoxib and cimetidine.","International journal of clinical pharmacology and therapeutics","","0946-1965","10.5414/cpp43527","","OBJECTIVE: Aliskiren is the first in a new class of orally effective renin inhibitors for the treatment of hypertension. This study investigated the  interaction profile of aliskiren, which is of clinical importance because  hypertensive patients often require concomitant drug therapy for associated  comorbidities. METHODS: Four separate studies investigated the pharmacokinetic  interaction between single oral doses of aliskiren and lovastatin, atenolol,  celecoxib or cimetidine, respectively. All studies involved healthy male  volunteers aged 18-45 years. In 3 studies, subjects (n = 15 in each study)  received single doses of aliskiren 150 mg alone, the test drug alone (lovastatin  40 mg, atenolol 100 mg or celecoxib 200 mg), or both drugs in combination,  according to a 3-period crossover design. In the cimetidine study (n = 12),  aliskiren 150 mg was administered alone or concomitantly with cimetidine 800 mg  according to a two-period crossover design. Plasma concentrations of aliskiren  and test drugs were determined by liquid chromatography and mass spectrometry  methods. Pharmacokinetic parameters were derived from these data. RESULTS: Mean  AUC and t1/2 for aliskiren were not significantly changed by lovastatin, atenolol  or celecoxib (< 10% difference between treatments). Aliskiren mean Cmax was not  affected by either lovastatin or atenolol, although a non-significant 36%  increase was observed with celecoxib. Modest, non-significant increases in  aliskiren systemic availability followed coadministration with cimetidine  (aliskiren mean AUC, Cmax and t1/2 increased by 17%, 19% and 15%, respectively).  Aliskiren coadministration had no significant effect on the disposition of  lovastatin, atenolol or celecoxib. CONCLUSIONS: Overall, single doses of  aliskiren showed no evidence of clinically important pharmacokinetic interactions  with lovastatin, atenolol, celecoxib or cimetidine.","2005-11","2024-04-17 08:25:38","2024-04-17 08:34:35","","527-535","","11","43","","Int J Clin Pharmacol Ther","","","","","","","","eng","","","","","","","Place: Germany PMID: 16300168","","","","Adolescent; Adult; Humans; Male; Middle Aged; Drug Interactions; Cross-Over Studies; Adrenergic beta-Antagonists/blood/pharmacokinetics; Hydroxymethylglutaryl-CoA Reductase Inhibitors/blood/pharmacokinetics; Sulfonamides/blood/*pharmacokinetics; Lovastatin/blood/*pharmacokinetics; Amides; Celecoxib; Hypertension/drug therapy; Renin/antagonists & inhibitors; Enzyme Inhibitors/blood/pharmacokinetics; Fumarates/adverse effects/blood/*pharmacokinetics; Cimetidine/blood/*pharmacokinetics; Pyrazoles/blood/*pharmacokinetics; Atenolol/blood/*pharmacokinetics; Cyclooxygenase 2 Inhibitors/blood/pharmacokinetics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FKJKZ2H2","journalArticle","2018","Tokuhara, Hidekazu; Imaeda, Yasuhiro; Fukase, Yoshiyuki; Iwanaga, Koichi; Taya, Naohiro; Watanabe, Koji; Kanagawa, Ray; Matsuda, Keisuke; Kajimoto, Yumiko; Kusumoto, Keiji; Kondo, Mitsuyo; Snell, Gyorgy; Behnke, Craig A.; Kuroita, Takanobu","Discovery of benzimidazole derivatives as orally active renin inhibitors: Optimization of 3,5-disubstituted piperidine to improve pharmacokinetic profile.","Bioorganic & medicinal chemistry","","1464-3391 0968-0896","10.1016/j.bmc.2018.04.051","","We previously identified 2-tert-butyl-4-[(3-methoxypropyl)amino]-N-(2-methylpropyl)-N-[(3S,5R)-5-(morpholin-4-ylcarbonyl)piperidin-3-yl]pyrimidine-5-carboxamide  3 as a potent renin inhibitor. Since 3 showed unacceptably low bioavailability  (BA) in rats, structural modification, using SBDD and focused on physicochemical  properties was conducted to improve its PK profile while maintaining renin  inhibitory activity. Conversion of the amino group attached at the 4-position of  pyrimidine to methylene group improved PK profile and decreased renin inhibitory  activity. New central cores with carbon side chains were explored to improve  potency. We had designed a series of 5-membered azoles and fused heterocycles  that interacted with the lipophilic S3 pocket. In the course of modification,  renin inhibitory activity was enhanced by the formation of an additional hydrogen  bonding with the hydroxyl group of Thr77. Consequently, a series of novel  benzimidazole derivatives were discovered as potent and orally bioavailable renin  inhibitors. Among those, compound 13 exhibited more than five-fold of plasma  renin inhibition than aliskiren in cynomolgus monkeys at dose ratio.","2018-07-23","2024-04-17 08:25:38","2024-04-17 08:35:06","","3261-3286","","12","26","","Bioorg Med Chem","","","","","","","","eng","Copyright © 2018 Elsevier Ltd. All rights reserved.","","","","","","Place: England PMID: 29754833","","","","Humans; Animals; Rats; Administration, Oral; Half-Life; Bioavailability; Biological Availability; Structure-Activity Relationship; Binding Sites; Drug Evaluation, Preclinical; Drug Design; Protein Structure, Tertiary; Molecular Dynamics Simulation; Crystallography, X-Ray; Hydrogen Bonding; Renin/*antagonists & inhibitors/metabolism; Benzimidazoles/*chemistry/metabolism/pharmacokinetics; Crystal structure; Piperidine; Piperidines/*chemistry/metabolism/pharmacokinetics; Protease Inhibitors/*chemical synthesis/metabolism/pharmacokinetics; Renin inhibitor; Topological polar surface area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8ZHCR3E2","journalArticle","2014","Burckhardt, Bjoern B.; Tins, Jutta; Laeer, Stephanie","Liquid chromatography-tandem mass spectrometry method for determination of aliskiren in saliva and its application to a clinical trial with healthy  volunteers.","Journal of pharmaceutical and biomedical analysis","","1873-264X 0731-7085","10.1016/j.jpba.2014.03.021","","Although serum and plasma are the biological fluids of choice for pharmacokinetic determination of drugs in adults, it is desirable to elucidate noninvasive  methods which can be used for investigations in vulnerable groups such as  children. If the drug properties grant sufficient penetration of the drug from  blood into saliva, the latter is a useful matrix for noninvasive investigations.  Concerning the known physicochemical properties, the direct renin inhibitor  aliskiren is one of the substances of which saliva concentrations could  substitute blood concentrations for pharmacokinetic investigations in children.  Therefore, a reliable bioanalytical method was successfully developed and  validated according to the criteria of current international bioanalytical  guidelines to enable the comparison of blood and saliva concentrations of  aliskiren. After purification of the fluid by solid-phase extraction the  chromatographic separation was conducted by using Xselect™ C18 CSH columns.  Applying a mobile phase gradient of acidified methanol and acidified water at a  flow rate of 0.4ml/min the column effluent was monitored during a total run time  of 7.5min by tandem mass spectrometry with electrospray ionization. Running in  positive mode the following transitions were investigated: 552.2-436.2m/z for  aliskiren and 425.3-351.2m/z for benazepril (internal standard). Calibration  curves were constructed in the range of 0.586-1200ng/ml and were analyzed  utilizing 1/x(2) weighted linear regression. Intra-run and inter-run precision  were 3.8-8.1% and 3.4-8.9%. The method provides selectivity, linearity and  accuracy. The validated method was then applied to determine aliskiren  concentrations in saliva and blood of three healthy volunteers after oral  administration of 300mg aliskiren.","2014-08-05","2024-04-17 08:25:38","2024-04-17 08:34:31","","118-126","","","96","","J Pharm Biomed Anal","","","","","","","","eng","Copyright © 2014 Elsevier B.V. All rights reserved.","","","","","","Place: England PMID: 24739274","","","","Adult; Humans; Male; Female; Middle Aged; Administration, Oral; Reproducibility of Results; Calibration; Saliva; Linear Models; Tandem Mass Spectrometry/*methods; Chromatography, Liquid/*methods; LC-MS/MS; Pharmacokinetic; Spectrometry, Mass, Electrospray Ionization/methods; Saliva/chemistry; Antihypertensive Agents/*pharmacokinetics; Solid Phase Extraction; Pediatric; Amides/administration & dosage/*pharmacokinetics; Fumarates/administration & dosage/*pharmacokinetics; Aliskiren","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8U7RKLPW","journalArticle","2008","Buczko, Włodzimierz; Hermanowicz, Justyna M.","Pharmacokinetics and pharmacodynamics of aliskiren, an oral direct renin inhibitor.","Pharmacological reports : PR","","1734-1140","","","Intensive efforts have been spent to discover therapeutic, non-peptide and orally effective hypertensive drugs. One drug that emerged from this effort is  aliskiren, a direct human renin inhibitor that blocks the conversion of  angiotensinogen to angiotensin I (Ang I). In contrast to other antihypertensive  agents, aliskiren decreases plasma renin activity (PRA). In healthy human  subjects, doses of between 40 and 640 mg of aliskiren exert a dose-dependent  reduction in PRA and Ang I and Ang II levels. The bioavailability of aliskiren is  low (2%), peak plasma concentrations are reached within one to three hours and  the binding with plasma proteins achieves approximately 47-51%. Aliskiren is  slightly metabolized (20%) by CYP3A4. The most common adverse events include  diarrhea, headache, back pain and gastrointestinal disorders. Aliskiren is well  tolerated, and may be used alone or in combination with other antihypertensive  agents. Aliskiren belongs to a new class of agents that effectively and  specifically inhibit the RAS. This drug functions through a novel mechanism of  action and has the potential to become a true alternative to angiotensin  converting enzyme inhibitors and angiotensin receptor blockers in the therapy of  hypertension and other cardiovascular and renal disorders.","2008-10","2024-04-17 08:25:38","2024-04-17 08:34:29","","623-631","","5","60","","Pharmacol Rep","","","","","","","","eng","","","","","","","Place: Switzerland PMID: 19066408","","","","Humans; Animals; Drug Interactions; Renin-Angiotensin System/drug effects; Hypertension/drug therapy; Renin/*antagonists & inhibitors/blood; Amides/adverse effects/*pharmacokinetics/*pharmacology/therapeutic use; Antihypertensive Agents/adverse effects/*pharmacokinetics/pharmacology/therapeutic use; Fumarates/adverse effects/*pharmacokinetics/*pharmacology/therapeutic use","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FAVNNU55","journalArticle","2012","Schneider, Markus P.; Janka, Rolf; Ziegler, Thomas; Raff, Ulrike; Ritt, Martin; Ott, Christian; Veelken, Roland; Uder, Michael; Schmieder, Roland E.","Reversibility of the effects of aliskiren in the renal versus systemic circulation.","Clinical journal of the American Society of Nephrology : CJASN","","1555-905X 1555-9041","10.2215/CJN.05870611","","BACKGROUND AND OBJECTIVES: Renal hemodynamic effects of inhibitors of the renin-angiotensin system can increase the risk of acute kidney injury under  certain conditions. The BP-lowering effects of the renin inhibitor aliskiren are  sustained 3-4 weeks after withdrawal. In this study, the reversibility of the  renal hemodynamic effects of aliskiren was tested. DESIGN, SETTING, PARTICIPANTS,  & MEASUREMENTS: In this open-label study, renal perfusion was measured by 1.5-T  magnetic resonance imaging-arterial spin labeling in 34 subjects with arterial  hypertension before aliskiren (pre-aliskiren), after 4 weeks of aliskiren  treatment (300 mg), and 4-5 days (∼2.5-3.0× plasma half-life) after withdrawal  (post-aliskiren). RESULTS: Aliskiren reduced systolic BP from 152 ± 14 to 139 ±  16 mmHg (P<0.0001), which was sustained post-aliskiren (136 ± 13 mmHg, P=1.00  versus aliskiren). Aliskiren significantly altered renal perfusion (P=0.005),  increasing from 272 ± 25 pre-aliskiren to 287 ± 29 ml/min per 100 g during  aliskiren (P=0.03). This increase in renal perfusion was completely reversed  post-aliskiren (272 ± 26 ml/min per 100 g, P=0.03 versus aliskiren, P=0.63 versus  pre-aliskiren). No changes were noted in urinary angiotensinogen levels. Plasma  renin activity was reduced by aliskiren, which was sustained post-aliskiren.  Angiotensin II and aldosterone were reduced by aliskiren but recovered  post-aliskiren to pre-aliskiren levels. CONCLUSIONS: After withdrawal of  aliskiren, the effects on BP were sustained, whereas increase in renal perfusion  was reversed, which was associated with recovery of angiotensin II and  aldosterone to pretreatment levels. Renal hemodynamic effects are more readily  reversible than systemic effects of aliskiren.","2012-02","2024-04-17 08:25:38","2024-04-17 08:34:55","","258-264","","2","7","","Clin J Am Soc Nephrol","","","","","","","","eng","","","","","","","Place: United States PMID: 22173856  PMCID: PMC3280021","","","","Adult; Humans; Male; Female; Middle Aged; Analysis of Variance; Aged; Time Factors; Half-Life; Treatment Outcome; Blood Pressure/*drug effects; Germany; Magnetic Resonance Imaging; Vasodilation/*drug effects; Renin-Angiotensin System/*drug effects; Aldosterone/blood; Amides/blood/pharmacokinetics/*therapeutic use; Antihypertensive Agents/blood/pharmacokinetics/*therapeutic use; Fumarates/blood/pharmacokinetics/*therapeutic use; Hypertension/blood/*drug therapy/physiopathology; Renal Circulation/*drug effects; Angiotensin II/blood; Renin/antagonists & inhibitors/blood; Perfusion Imaging/methods; Vasodilator Agents/blood/pharmacokinetics/*therapeutic use","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GTVFQR5U","journalArticle","2007","Azizi, Michel; Ménard, Joël; Bissery, Alvine; Guyene, Than-Tam; Bura-Rivière, Alessandra","Hormonal and hemodynamic effects of aliskiren and valsartan and their combination in sodium-replete normotensive individuals.","Clinical journal of the American Society of Nephrology : CJASN","","1555-905X 1555-9041","10.2215/CJN.00360107","","BACKGROUND AND OBJECTIVES: An AT1 receptor antagonist induces a counterregulatory renin release whose intensity and duration reflect the magnitude of the  renin-angiotensin blockade. We investigated whether a renin inhibitor may  neutralize this counterregulation and amplify the effects of AT1 receptor  antagonists. DESIGN, SETTING, PARTICIPANTS, & MEASUREMENTS: In 12 normotensive  male individuals who were on a high-sodium diet, a double-blind,  placebo-controlled, randomized, crossover design was used to study the hormonal  and BP effects of single oral administrations of 300 mg of the renin inhibitor  aliskiren, 320 mg of valsartan, and a combination of these two drugs, each at  half dosage (150 mg of aliskiren and 160 mg of valsartan). RESULTS: Valsartan  (320 mg) increased plasma renin activity and angiotensin I and angiotensin II  levels, but 300 mg of aliskiren decreased them for 48 h. Aliskiren (300 mg)  stimulated immunoreactive renin release more strongly than 320 mg of valsartan,  decreased urinary aldosterone excretion for longer than 320 mg of valsartan, and  had a similar BP-lowering effect as 320 mg of valsartan. In combination, 150 mg  of aliskiren neutralized the valsartan (160 mg)-induced increase in plasma  angiotensins for 48 h. The renin and aldosterone effects of the combination of  150 mg of aliskiren and 160 mg of valsartan were similar to those of 300 mg of  aliskiren and greater than those of 320 mg of valsartan. When plasma drug  concentrations were taken into account, the combination of 150 mg of aliskiren  and 160 mg of valsartan had a synergistic effect on renin release. The  BP-lowering effect of 150 mg of aliskiren and 160 mg of valsartan was similar to  that of 300 mg of aliskiren and 320 mg of valsartan at peak but was more  prolonged. CONCLUSION: The stronger and longer lasting effects on plasma active  renin and urinary aldosterone of aliskiren, alone or in combination, demonstrate  a more effective blockade of the renin-angiotensin system than that obtained with  320 mg of valsartan alone.","2007-09","2024-04-17 08:25:38","2024-04-17 08:34:25","","947-955","","5","2","","Clin J Am Soc Nephrol","","","","","","","","eng","","","","","","","Place: United States PMID: 17702736","","","","Adult; Humans; Male; Double-Blind Method; Cross-Over Studies; Valsartan; Blood Pressure/*drug effects; Drug Therapy, Combination; Sodium/*metabolism; Angiotensin II Type 1 Receptor Blockers/pharmacokinetics/*pharmacology; Renin/*antagonists & inhibitors; Amides/pharmacokinetics/*pharmacology; Fumarates/pharmacokinetics/*pharmacology; Tetrazoles/pharmacokinetics/*pharmacology; Valine/*analogs & derivatives/pharmacokinetics/pharmacology","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PLVCNMZ8","journalArticle","2014","Hoffmann, Peter; Beckman, David; McLean, Lee Anne; Yan, Jing-He","Aliskiren toxicity in juvenile rats is determined by ontogenic regulation of intestinal P-glycoprotein expression.","Toxicology and applied pharmacology","","1096-0333 0041-008X","10.1016/j.taap.2013.12.019","","Juvenile rat toxicity studies with the direct renin inhibitor aliskiren were initiated to support treatment in the pediatric population. In Study 1, aliskiren  was administered orally to juvenile rats at doses of 0, 30, 100 or 300 mg/kg/day  with repeated dosing from postpartum day (PPD) 8 to PPD 35/36. In-life, clinical  pathology, anatomic pathology, and toxicokinetics evaluations were performed. In  Study 2, single oral doses of aliskiren (0, 100 or 300 mg/kg) were given to 14-,  21-, 24-, 28-, 31- or 36-day-old rats; in-life data and toxicokinetics were  evaluated. Study 3 was a single dose (3 mg/kg i.v.) pharmacokinetic study in  juvenile rats on PPD 8, 14, 21 and 28. In Study 4, naïve rats were used to  investigate ontogenic changes of the multidrug-resistant protein 1 (MDR1) and the  organic anion transporting polypeptide (OATP) mRNA in several organs. Oral  administration of aliskiren at 100 and 300 mg/kg caused unexpected mortality and  severe morbidity in 8-day-old rats. Aliskiren plasma and tissue concentrations  were increased in rats aged 21days and younger. Expression of MDR1 and OATP mRNA  in the intestine, liver and brain was significantly lower in very young rats. In  conclusion, severe toxicity and increased exposure in very young rats after oral  administration of aliskiren are considered to be the result of immature drug  transporter systems. Immaturity of MDR1 in enterocytes appears to be the most  important mechanism responsible for the high exposure.","2014-02-15","2024-04-17 08:25:38","2024-04-17 08:34:38","","36-43","","1","275","","Toxicol Appl Pharmacol","","","","","","","","eng","Copyright © 2014 Elsevier Inc. All rights reserved.","","","","","","Place: United States PMID: 24388840","","","","Male; Female; Animals; Rats; Rats, Sprague-Dawley; Administration, Oral; Dose-Response Relationship, Drug; Toxicity Tests; OATP; Injections, Intravenous; Rats, Wistar; Tissue Distribution; Random Allocation; *Aging; MDR1; Down-Regulation/drug effects; Organic Anion Transporters/antagonists & inhibitors/genetics/metabolism; Renin/*antagonists & inhibitors; Exposure; Toxicity; Aliskiren; Amides/administration & dosage/*adverse effects/metabolism/pharmacokinetics; Antihypertensive Agents/administration & dosage/*adverse effects/metabolism/pharmacokinetics; ATP Binding Cassette Transporter, Subfamily B, Member 1/antagonists & inhibitors/genetics/metabolism; Fumarates/administration & dosage/*adverse effects/metabolism/pharmacokinetics; Jejunum/drug effects/growth & development/metabolism; Juvenile rat; Liver/drug effects/growth & development/metabolism","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
